"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","controller","src/controller/CharacterController.java","4","11","Avoid unused imports such as 'view.WorldView'","Type Resolution Rules","UnusedImports"
"2","controller","src/controller/CharacterController.java","4","11","Avoid unused imports such as 'view.WorldView'","Type Resolution Rules","UnusedImports"
"3","controller","src/controller/CharacterController.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"4","controller","src/controller/CharacterController.java","3","15","Private field 'inGameController' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"5","controller","src/controller/CharacterController.java","3","16","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"6","controller","src/controller/CharacterController.java","3","16","Private field 'character' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"7","controller","src/controller/CharacterController.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"8","controller","src/controller/CharacterController.java","3","17","Private field 'characterView' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"9","controller","src/controller/CharacterController.java","3","25","Parameter 'inGameController' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"10","controller","src/controller/CharacterController.java","3","57","Parameter 'keyRight' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"11","controller","src/controller/CharacterController.java","3","61","Parameter 'keyLeft' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"12","controller","src/controller/CharacterController.java","3","65","Parameter 'keyUp' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"13","controller","src/controller/CharacterController.java","3","69","Parameter 'keyDown' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"14","controller","src/controller/CharacterController.java","3","92","Avoid variables with short names like gc","Naming Rules","ShortVariable"
"15","controller","src/controller/CharacterController.java","3","93","Local variable 'input' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"16","controller","src/controller/CharacterController.java","3","103","Avoid empty if statements","Basic Rules","EmptyIfStmt"
"17","controller","src/controller/GameController.java","4","4","Avoid unused imports such as 'model.InGame'","Type Resolution Rules","UnusedImports"
"18","controller","src/controller/GameController.java","4","4","Avoid unused imports such as 'model.InGame'","Type Resolution Rules","UnusedImports"
